ReturnId,AY,ParentCompany,CompanyName,CompanyLocation,EventName,AuthorityName,Ground,Income,Assessed Income,Difference,ContingentLiability,WinProbability
47,2015-2016,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,231,NA,0,NA,low chances of winning
48,2016-2017,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
49,2017-2018,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,205,NA,0,NA,low chances of winning
50,2013-2014,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
51,2014-2015,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
52,2015-2016,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,low chances of winning
53,2016-2017,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,149,NA,0,NA,moderate chances of winning 
54,2017-2018,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,201,NA,0,NA,low chances of winning
55,2017-2018,Sam group,Strategy And Operations,Delhi,Assessment order Received,Assessing officer,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
56,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
57,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
58,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,ITAT,Interest on income tax refund,201,220,19,Possible,low chances of winning
59,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,ITAT,Interest on income tax refund,201,220,19,Possible,high chances of winning
60,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,High Court,Interest on income tax refund,201,220,19,Possible,low chances of winning
61,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,High Court,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
62,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
63,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
64,2013-2014,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,100,NA,0,NA,moderate chances of winning 
65,2014-2015,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,120,NA,0,NA,moderate chances of winning 
66,2014-2015,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,120,140,20,Probable,low chances of winning
67,2014-2015,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,120,140,20,Probable,high chances of winning
68,2014-2015,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,120,140,20,Probable,low chances of winning
69,2015-2016,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
70,2016-2017,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
71,2017-2018,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,130,NA,0,NA,high chances of winning
72,2017-2018,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,130,147,17,Possible,high chances of winning
73,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Addition to capital gains,130,147,17,Possible,moderate chances of winning 
74,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,130,147,17,Possible,high chances of winning
75,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,ITAT,Addition to capital gains,130,147,17,Possible,high chances of winning
76,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,ITAT,Addition to capital gains,130,147,17,Possible,low chances of winning
77,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
78,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
79,2013-2014,Sam group,Consulting,Delhi,Return Filed,self,No Ground,120,NA,0,NA,low chances of winning
80,2013-2014,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Preliminary Expenses,120,135,15,Possible,high chances of winning
81,2013-2014,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Preliminary Expenses,120,135,15,Possible,low chances of winning
82,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Preliminary Expenses,120,135,15,Possible,moderate chances of winning 
83,2013-2014,Sam group,Consulting,Delhi,Appeal filed,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
84,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
85,2013-2014,Sam group,Consulting,Delhi,Appeal filed,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
86,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
87,2014-2015,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
88,2014-2015,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,200,240,40,Remote,high chances of winning
89,2014-2015,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,200,240,40,Remote,moderate chances of winning 
90,2014-2015,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,200,240,40,Remote,high chances of winning
91,2015-2016,Sam group,Consulting,Delhi,Return Filed,self,No Ground,240,NA,0,NA,low chances of winning
92,2016-2017,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,low chances of winning
93,2016-2017,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,200,225,25,Probable,high chances of winning
94,2016-2017,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
95,2016-2017,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
96,2016-2017,Sam group,Consulting,Delhi,Appeal filed,ITAT,Addition to capital gains,200,225,25,Probable,high chances of winning
97,2016-2017,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Addition to capital gains,200,225,25,Probable,moderate chances of winning 
98,2017-2018,Sam group,Consulting,Delhi,Return Filed,self,No Ground,220,NA,0,NA,low chances of winning
99,2017-2018,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,220,228,8,Possible,moderate chances of winning 
100,2017-2018,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,220,228,8,Possible,high chances of winning
101,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,220,228,8,Possible,moderate chances of winning 
102,2017-2018,Sam group,Consulting,Delhi,Appeal filed,ITAT,Bond Issue Expenses,220,228,8,Possible,low chances of winning
103,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Bond Issue Expenses,220,228,8,Possible,high chances of winning
104,2017-2018,Sam group,Consulting,Delhi,Appeal filed,High Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
105,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,High Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
106,2017-2018,Sam group,Consulting,Delhi,Appeal filed,Supreme Court,Bond Issue Expenses,220,228,8,Possible,low chances of winning
107,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,Supreme Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
108,2013-2014,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,117,NA,0,NA,high chances of winning
109,2014-2015,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,152,NA,0,NA,moderate chances of winning 
110,2015-2016,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,231,NA,0,NA,low chances of winning
111,2016-2017,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
112,2017-2018,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,205,NA,0,NA,low chances of winning
113,2013-2014,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
114,2014-2015,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
115,2015-2016,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,low chances of winning
116,2016-2017,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,149,NA,0,NA,moderate chances of winning 
117,2017-2018,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,201,NA,0,NA,low chances of winning
118,2017-2018,Sam group,Strategy And Operations,Delhi,Assessment order Received,Assessing officer,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
119,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
120,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
121,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,ITAT,Interest on income tax refund,201,220,19,Possible,low chances of winning
122,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,ITAT,Interest on income tax refund,201,220,19,Possible,high chances of winning
123,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,High Court,Interest on income tax refund,201,220,19,Possible,low chances of winning
124,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,High Court,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
125,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
126,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
127,2013-2014,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,100,NA,0,NA,moderate chances of winning 
128,2014-2015,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,120,NA,0,NA,moderate chances of winning 
129,2014-2015,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,120,140,20,Probable,low chances of winning
130,2014-2015,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,120,140,20,Probable,high chances of winning
131,2014-2015,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,120,140,20,Probable,low chances of winning
132,2015-2016,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
133,2016-2017,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
134,2017-2018,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,130,NA,0,NA,high chances of winning
135,2017-2018,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,130,147,17,Possible,high chances of winning
136,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Addition to capital gains,130,147,17,Possible,moderate chances of winning 
137,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,130,147,17,Possible,high chances of winning
138,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,ITAT,Addition to capital gains,130,147,17,Possible,high chances of winning
139,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,ITAT,Addition to capital gains,130,147,17,Possible,low chances of winning
140,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
141,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
142,2013-2014,Sam group,Consulting,Delhi,Return Filed,self,No Ground,120,NA,0,NA,low chances of winning
143,2013-2014,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Preliminary Expenses,120,135,15,Possible,high chances of winning
144,2013-2014,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Preliminary Expenses,120,135,15,Possible,low chances of winning
145,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Preliminary Expenses,120,135,15,Possible,moderate chances of winning 
146,2013-2014,Sam group,Consulting,Delhi,Appeal filed,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
147,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
148,2013-2014,Sam group,Consulting,Delhi,Appeal filed,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
149,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
150,2014-2015,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
151,2014-2015,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,200,240,40,Remote,high chances of winning
152,2014-2015,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,200,240,40,Remote,moderate chances of winning 
153,2014-2015,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,200,240,40,Remote,high chances of winning
154,2015-2016,Sam group,Consulting,Delhi,Return Filed,self,No Ground,240,NA,0,NA,low chances of winning
155,2016-2017,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,low chances of winning
156,2016-2017,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,200,225,25,Probable,high chances of winning
157,2016-2017,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
158,2016-2017,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
159,2016-2017,Sam group,Consulting,Delhi,Appeal filed,ITAT,Addition to capital gains,200,225,25,Probable,high chances of winning
160,2016-2017,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Addition to capital gains,200,225,25,Probable,moderate chances of winning 
161,2017-2018,Sam group,Consulting,Delhi,Return Filed,self,No Ground,220,NA,0,NA,low chances of winning
162,2017-2018,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,220,228,8,Possible,moderate chances of winning 
163,2017-2018,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,220,228,8,Possible,high chances of winning
164,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,220,228,8,Possible,moderate chances of winning 
165,2017-2018,Sam group,Consulting,Delhi,Appeal filed,ITAT,Bond Issue Expenses,220,228,8,Possible,low chances of winning
166,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Bond Issue Expenses,220,228,8,Possible,high chances of winning
167,2017-2018,Sam group,Consulting,Delhi,Appeal filed,High Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
168,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,High Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
169,2017-2018,Sam group,Consulting,Delhi,Appeal filed,Supreme Court,Bond Issue Expenses,220,228,8,Possible,low chances of winning
170,2017-2018,Sam group,Consulting,Delhi,Appeal Order Received,Supreme Court,Bond Issue Expenses,220,228,8,Possible,high chances of winning
171,2013-2014,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,117,NA,0,NA,high chances of winning
172,2014-2015,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,152,NA,0,NA,moderate chances of winning 
173,2015-2016,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,231,NA,0,NA,low chances of winning
174,2016-2017,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
175,2017-2018,Sam group,Risk Advisory,Delhi,Return Filed,self,No Ground,205,NA,0,NA,low chances of winning
176,2013-2014,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
177,2014-2015,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
178,2015-2016,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,140,NA,0,NA,low chances of winning
179,2016-2017,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,149,NA,0,NA,moderate chances of winning 
180,2017-2018,Sam group,Strategy And Operations,Delhi,Return Filed,self,No Ground,201,NA,0,NA,low chances of winning
181,2017-2018,Sam group,Strategy And Operations,Delhi,Assessment order Received,Assessing officer,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
182,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
183,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,CIT(A),Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
184,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,ITAT,Interest on income tax refund,201,220,19,Possible,low chances of winning
185,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,ITAT,Interest on income tax refund,201,220,19,Possible,high chances of winning
186,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,High Court,Interest on income tax refund,201,220,19,Possible,low chances of winning
187,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,High Court,Interest on income tax refund,201,220,19,Possible,moderate chances of winning 
188,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal filed,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
189,2017-2018,Sam group,Strategy And Operations,Delhi,Appeal Order Received,Supreme Court,Interest on income tax refund,201,220,19,Possible,high chances of winning
190,2013-2014,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,100,NA,0,NA,moderate chances of winning 
191,2014-2015,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,120,NA,0,NA,moderate chances of winning 
192,2014-2015,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,120,140,20,Probable,low chances of winning
193,2014-2015,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,120,140,20,Probable,high chances of winning
194,2014-2015,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,120,140,20,Probable,low chances of winning
195,2015-2016,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,140,NA,0,NA,moderate chances of winning 
196,2016-2017,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,80,NA,0,NA,high chances of winning
197,2017-2018,Sam group,Tax Services,Delhi,Return Filed,self,No Ground,130,NA,0,NA,high chances of winning
198,2017-2018,Sam group,Tax Services,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,130,147,17,Possible,high chances of winning
199,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,CIT(A),Addition to capital gains,130,147,17,Possible,moderate chances of winning 
200,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,130,147,17,Possible,high chances of winning
201,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,ITAT,Addition to capital gains,130,147,17,Possible,high chances of winning
202,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,ITAT,Addition to capital gains,130,147,17,Possible,low chances of winning
203,2017-2018,Sam group,Tax Services,Delhi,Appeal filed,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
204,2017-2018,Sam group,Tax Services,Delhi,Appeal Order Received,High Court,Addition to capital gains,130,147,17,Possible,low chances of winning
205,2013-2014,Sam group,Consulting,Delhi,Return Filed,self,No Ground,120,NA,0,NA,low chances of winning
206,2013-2014,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Preliminary Expenses,120,135,15,Possible,high chances of winning
207,2013-2014,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Preliminary Expenses,120,135,15,Possible,low chances of winning
208,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Preliminary Expenses,120,135,15,Possible,moderate chances of winning 
209,2013-2014,Sam group,Consulting,Delhi,Appeal filed,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
210,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,ITAT,Preliminary Expenses,120,135,15,Possible,high chances of winning
211,2013-2014,Sam group,Consulting,Delhi,Appeal filed,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
212,2013-2014,Sam group,Consulting,Delhi,Appeal Order Received,High Court,Preliminary Expenses,120,135,15,Possible,low chances of winning
213,2014-2015,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,high chances of winning
214,2014-2015,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Bond Issue Expenses,200,240,40,Remote,high chances of winning
215,2014-2015,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Bond Issue Expenses,200,240,40,Remote,moderate chances of winning 
216,2014-2015,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Bond Issue Expenses,200,240,40,Remote,high chances of winning
217,2015-2016,Sam group,Consulting,Delhi,Return Filed,self,No Ground,240,NA,0,NA,low chances of winning
218,2016-2017,Sam group,Consulting,Delhi,Return Filed,self,No Ground,200,NA,0,NA,low chances of winning
219,2016-2017,Sam group,Consulting,Delhi,Assessment order Received,Assessing officer,Addition to capital gains,200,225,25,Probable,high chances of winning
220,2016-2017,Sam group,Consulting,Delhi,Appeal filed,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
221,2016-2017,Sam group,Consulting,Delhi,Appeal Order Received,CIT(A),Addition to capital gains,200,225,25,Probable,low chances of winning
222,2016-2017,Sam group,Consulting,Delhi,Appeal filed,ITAT,Addition to capital gains,200,225,25,Probable,high chances of winning
